Id,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,text_len,word_count,hashtag_count,emoji_count,SentimentSimple,Sentiment_norm,TextLength,LengthGroup
0, Enjoying a beautiful day at the park!              , Positive  ,2023-01-15 12:30:00, User123      ,Twitter, #Nature #Park                            ,15.0,30.0,Usa,2023,1,15,12,52,7,2,1,Positive,Positive,52,30-59
1, Traffic was terrible this morning.                 , Negative  ,2023-01-15 08:45:00, CommuterX    ,Twitter, #Traffic #Morning                        ,5.0,10.0,Canada,2023,1,15,8,52,5,2,1,Negative,Negative,52,30-59
2, Just finished an amazing workout! 💪               , Positive  ,2023-01-15 15:45:00, FitnessFan   ,Instagram, #Fitness #Workout                        ,20.0,40.0,Usa,2023,1,15,15,51,6,2,2,Positive,Positive,51,30-59
3, Excited about the upcoming weekend getaway!        , Positive  ,2023-01-15 18:20:00, AdventureX   ,Facebook, #Travel #Adventure                       ,8.0,15.0,United Kingdom,2023,1,15,18,52,6,2,1,Positive,Positive,52,30-59
4, Trying out a new recipe for dinner tonight.        , Neutral   ,2023-01-15 19:55:00, ChefCook     ,Instagram, #Cooking #Food                           ,12.0,25.0,Australia,2023,1,15,19,52,8,2,1,Neutral,Neutral,52,30-59
5, Feeling grateful for the little things in life.    , Positive  ,2023-01-16 09:10:00, GratitudeNow ,Twitter, #Gratitude #PositiveVibes              ,25.0,50.0,India,2023,1,16,9,52,8,2,1,Positive,Positive,52,30-59
6, Rainy days call for cozy blankets and hot cocoa.   , Positive  ,2023-01-16 14:45:00, RainyDays    ,Facebook, #RainyDays #Cozy                         ,10.0,20.0,Canada,2023,1,16,14,52,9,2,1,Positive,Positive,52,30-59
7, The new movie release is a must-watch!             , Positive  ,2023-01-16 19:30:00, MovieBuff    ,Instagram, #MovieNight #MustWatch                  ,15.0,30.0,Usa,2023,1,16,19,52,7,2,2,Positive,Positive,52,30-59
8, Political discussions heating up on the timeline.  , Negative  ,2023-01-17 08:00:00, DebateTalk   ,Twitter, #Politics #Debate                       ,30.0,60.0,Usa,2023,1,17,8,52,7,2,1,Negative,Negative,52,30-59
9, Missing summer vibes and beach days.               , Neutral   ,2023-01-17 12:20:00, BeachLover   ,Facebook, #Summer #BeachDays                      ,18.0,35.0,Australia,2023,1,17,12,52,6,2,1,Neutral,Neutral,52,30-59
10, Just published a new blog post. Check it out!      , Positive  ,2023-01-17 15:15:00, BloggerX     ,Instagram, #Blogging #NewPost                      ,22.0,45.0,Usa,2023,1,17,15,52,9,2,2,Positive,Positive,52,30-59
11, Feeling a bit under the weather today.             , Negative  ,2023-01-18 10:30:00, WellnessCheck,Twitter, #SickDay #Health                        ,7.0,15.0,Canada,2023,1,18,10,52,7,2,1,Negative,Negative,52,30-59
12, Exploring the city's hidden gems.                  , Positive  ,2023-01-18 14:50:00, UrbanExplorer,Facebook, #CityExplore #HiddenGems                ,12.0,25.0,United Kingdom,2023,1,18,14,52,5,2,2,Positive,Positive,52,30-59
13," New year, new fitness goals! 💪                    ", Positive  ,2023-01-18 18:00:00, FitJourney   ,Instagram, #NewYear #FitnessGoals                  ,28.0,55.0,Usa,2023,1,18,18,51,6,2,2,Positive,Positive,51,30-59
14, Technology is changing the way we live.            , Neutral   ,2023-01-19 09:45:00, TechEnthusiast,Twitter, #Tech #Innovation                       ,15.0,30.0,India,2023,1,19,9,52,7,2,1,Neutral,Neutral,52,30-59
15, Reflecting on the past and looking ahead.          , Positive  ,2023-01-19 13:20:00, Reflections  ,Facebook, #Reflection #Future                     ,20.0,40.0,Usa,2023,1,19,13,52,7,2,1,Positive,Positive,52,30-59
16, Just adopted a cute furry friend! 🐾              , Positive  ,2023-01-19 17:10:00, PetAdopter   ,Instagram, #PetAdoption #FurryFriend               ,15.0,30.0,Canada,2023,1,19,17,50,7,2,2,Positive,Positive,50,30-59
17, Late-night gaming session with friends.            , Positive  ,2023-01-20 00:05:00, GamerX       ,Twitter, #Gaming #LateNight                      ,18.0,35.0,United Kingdom,2023,1,20,0,52,5,2,2,Positive,Positive,52,30-59
18, Attending a virtual conference on AI.              , Neutral   ,2023-01-20 11:30:00, TechConference,Facebook, #AI #TechConference                     ,25.0,50.0,Usa,2023,1,20,11,52,6,2,1,Neutral,Neutral,52,30-59
19, Winter blues got me feeling low.                   , Negative  ,2023-01-20 15:15:00, WinterBlues  ,Instagram, #WinterBlues #Mood                      ,8.0,15.0,Usa,2023,1,20,15,52,6,2,1,Negative,Negative,52,30-59
20, Sipping coffee and enjoying a good book.           , Positive  ,2023-01-21 08:40:00, Bookworm     ,Twitter, #Reading #CoffeeTime                    ,22.0,45.0,India,2023,1,21,8,52,7,2,1,Positive,Positive,52,30-59
21, Exploring the world of virtual reality.            , Positive  ,2023-01-21 13:20:00, VRExplorer   ,Facebook, #VR #VirtualReality                     ,15.0,30.0,Usa,2023,1,21,13,52,6,2,1,Positive,Positive,52,30-59
22, Productive day ticking off my to-do list.          , Positive  ,2023-01-21 16:45:00, ProductivityPro,Instagram, #Productivity #WorkFromHome           ,30.0,60.0,Usa,2023,1,21,16,52,7,2,2,Positive,Positive,52,30-59
23, Just finished a challenging workout routine.       , Positive  ,2023-01-22 09:15:00, FitnessWarrior,Twitter, #Fitness #ChallengeAccepted             ,20.0,40.0,United Kingdom,2023,1,22,9,52,6,2,1,Positive,Positive,52,30-59
24, Celebrating a milestone at work! 🎉               , Positive  ,2023-01-22 14:30:00, CareerMilestone,Facebook, #Career #Milestone                      ,12.0,25.0,Canada,2023,1,22,14,50,6,2,2,Positive,Positive,50,30-59
25, Sunday brunch with friends.                        , Positive  ,2023-01-22 12:00:00, BrunchBuddy  ,Instagram, #Brunch #Friends                       ,15.0,30.0,United Kingdom,2023,1,22,12,52,4,2,1,Positive,Positive,52,30-59
28, Learning a new language for personal growth.       , Positive  ,2023-01-23 16:20:00, LanguageLearner,Facebook, #LanguageLearning #PersonalGrowth       ,25.0,50.0,India,2023,1,23,16,52,7,2,1,Positive,Positive,52,30-59
29, Quiet evening with a good book.                    , Positive  ,2023-01-23 19:45:00, BookLover    ,Instagram, #Reading #QuietTime                     ,15.0,30.0,Australia,2023,1,23,19,52,6,2,1,Positive,Positive,52,30-59
30, Reflecting on the importance of mental health.     , Positive  ,2023-01-24 11:30:00, MentalHealthMatters,Twitter, #MentalHealth #SelfCare                 ,22.0,45.0,Usa,2023,1,24,11,52,7,2,1,Positive,Positive,52,30-59
31, New painting in progress! 🎨                       , Positive  ,2023-01-24 15:00:00, ArtistInAction,Facebook, #Art #PaintingInProgress             ,12.0,25.0,Canada,2023,1,24,15,51,5,2,2,Positive,Positive,51,30-59
32, Weekend road trip to explore scenic views.         , Positive  ,2023-01-24 17:30:00, RoadTripper  ,Instagram, #RoadTrip #ScenicViews                  ,18.0,35.0,United Kingdom,2023,1,24,17,52,7,2,1,Positive,Positive,52,30-59
33, Enjoying a cup of tea and watching the sunset.     , Positive  ,2023-01-25 18:00:00, SunsetWatcher,Twitter, #TeaTime #Sunset                       ,15.0,30.0,India,2023,1,25,18,52,9,2,1,Positive,Positive,52,30-59
34, Coding a new project with enthusiasm.              , Positive  ,2023-01-25 13:15:00, CodeEnthusiast,Facebook, #Coding #Enthusiasm                   ,30.0,60.0,Usa,2023,1,25,13,52,6,2,1,Positive,Positive,52,30-59
35, Feeling inspired after attending a workshop.       , Positive  ,2023-01-26 09:45:00, WorkshopAttendee,Instagram, #Inspiration #Workshop                  ,25.0,50.0,Usa,2023,1,26,9,52,6,2,1,Positive,Positive,52,30-59
36, Winter sports day at the local park.               , Positive  ,2023-01-26 14:20:00, WinterSports  ,Twitter, #WinterSports #Fun                     ,15.0,30.0,Canada,2023,1,26,14,52,7,2,1,Positive,Positive,52,30-59
37, Quality time with family this weekend.             , Positive  ,2023-01-26 17:40:00, FamilyTime   ,Facebook, #FamilyTime #Weekend                    ,22.0,45.0,United Kingdom,2023,1,26,17,52,6,2,1,Positive,Positive,52,30-59
